epochs,train_loss,val_loss
1,0.02366036690224362,0.02172417025632839
2,0.01979122596061499,0.020319191517258188
3,0.019687174281298868,0.02094113212855586
4,0.01957126413295932,0.02049042423256551
5,0.019574910904588853,0.021586515654289495
6,0.019462430810410915,0.01995001163667021
7,0.019416959724570748,0.020561334193173592
8,0.019427338593810642,0.019679345875868427
9,0.01938363297298868,0.020684447327627115
10,0.01933778790285125,0.02148207503457519
11,0.019342182236709436,0.019950016264963108
12,0.019306795436019538,0.019315370131966915
13,0.019320398334758612,0.01972433554816127
14,0.0193092465278867,0.019434932755471427
15,0.01925556844396631,0.019857202291239433
16,0.019241175654974452,0.020063941992437394
17,0.01924985859511515,0.02043091354254054
18,0.019225903738958713,0.019474339979311545
19,0.019239355639183407,0.020146188055521944
20,0.019200693828696106,0.02010110668113033
21,0.01917040239682001,0.019944199624282836
22,0.01915776600469485,0.020087149840974605
23,0.019188654704342414,0.01999772666143553
24,0.01917372793501574,0.019287895474163774
25,0.01914389027599917,0.019325811123001274
26,0.01913490490392919,0.01994255510483303
27,0.019142960985456276,0.019563555119107668
28,0.019156586100954057,0.019749334692505133
29,0.019100495737559224,0.019636661445416127
30,0.019141666871049918,0.019577078254639353
31,0.019094525501682467,0.019288200275773437
32,0.019084286969519346,0.019657851548397755
33,0.01907989582688795,0.01948115420645082
34,0.019115336243587765,0.02038484225397546
35,0.019101116740699697,0.02105148838870195
36,0.019081427579319046,0.019920345848923035
37,0.019082589056553308,0.019596760887426075
38,0.019028811037187496,0.020326696928561407
39,0.019022865584164675,0.019260681421211966
40,0.019066268293837046,0.02149004432583935
41,0.019037569372970183,0.019570627152275692
42,0.019023029333217697,0.019157099404042956
43,0.019039378889424745,0.019646151673022843
44,0.019042756754916318,0.019562887180382977
45,0.01900595283440951,0.019316809120014322
46,0.019015140475495608,0.019205412632024334
47,0.019021233049152934,0.01970952270280644
48,0.01901276416506704,0.019229036255000883
49,0.019010395208889315,0.019467211671725406
50,0.019000826290169522,0.022491486585714395
51,0.018964822111252222,0.01979049361617564
52,0.01899864315227328,0.019352651681009837
53,0.01898536884890904,0.01980254918556955
54,0.018974097643123664,0.01971471711239097
55,0.018992870380460037,0.020151191240954953
56,0.01891906067618905,0.01932976349498866
57,0.018942571277918374,0.019403944256028514
58,0.01894616988608561,0.019487205089727736
59,0.018993378944309677,0.019175029017086214
60,0.018917173096405806,0.019680510822045968
61,0.018911403369705725,0.01931529638513625
62,0.01892093192645936,0.01905800687569112
63,0.018929501427584424,0.019042009498671564
64,0.018956540282556656,0.01935991768010744
65,0.018933964668587336,0.019180553624621687
66,0.01893217698175109,0.019015049343794378
67,0.01887680493559897,0.019271146151666845
68,0.01892967148036775,0.019029068373399363
69,0.018905976677320732,0.018973367260590998
70,0.018945564884815472,0.019238969204311368
71,0.018879535801664987,0.01940233467917867
72,0.018878718107527545,0.019018392999179914
73,0.018890122130395006,0.019392036211852478
74,0.01888884402757291,0.019162331280143986
75,0.018885555937570537,0.020100265078660876
76,0.01885124518864281,0.019255419252852995
77,0.018868815954831284,0.01911082144055538
